point label,x,y,z
A0000,33.6,0.0,0.0
B0000,0.0,0.0,0.0
A0100,33.6,46.66666666666666,0.0
B0100,0.0,46.66666666666666,0.0
A0001,33.6,0.0,46.66666666666666
B0001,0.0,0.0,46.66666666666666
A0101,33.6,46.66666666666666,46.66666666666666
B0101,0.0,46.66666666666666,46.66666666666666
A0002,33.6,0.0,93.33333333333331
B0002,0.0,0.0,93.33333333333331
A0102,33.6,46.66666666666666,93.33333333333331
B0102,0.0,46.66666666666666,93.33333333333331
A0003,33.6,0.0,139.99999999999997
B0003,0.0,0.0,139.99999999999997
A0103,33.6,46.66666666666666,139.99999999999997
B0103,0.0,46.66666666666666,139.99999999999997
A0004,33.6,0.0,186.66666666666663
B0004,0.0,0.0,186.66666666666663
A0104,33.6,46.66666666666666,186.66666666666663
B0104,0.0,46.66666666666666,186.66666666666663
A0005,33.6,0.0,233.3333333333333
B0005,0.0,0.0,233.3333333333333
A0105,33.6,46.66666666666666,233.3333333333333
B0105,0.0,46.66666666666666,233.3333333333333
A0006,33.6,0.0,279.99999999999994
B0006,0.0,0.0,279.99999999999994
A0106,33.6,46.66666666666666,279.99999999999994
B0106,0.0,46.66666666666666,279.99999999999994
A0200,33.6,93.33333333333331,0.0
B0200,0.0,93.33333333333331,0.0
A0201,33.6,93.33333333333331,46.66666666666666
B0201,0.0,93.33333333333331,46.66666666666666
A0202,33.6,93.33333333333331,93.33333333333331
B0202,0.0,93.33333333333331,93.33333333333331
A0203,33.6,93.33333333333331,139.99999999999997
B0203,0.0,93.33333333333331,139.99999999999997
A0204,33.6,93.33333333333331,186.66666666666663
B0204,0.0,93.33333333333331,186.66666666666663
A0205,33.6,93.33333333333331,233.3333333333333
B0205,0.0,93.33333333333331,233.3333333333333
A0206,33.6,93.33333333333331,279.99999999999994
B0206,0.0,93.33333333333331,279.99999999999994
A0300,33.6,139.99999999999997,0.0
B0300,0.0,139.99999999999997,0.0
A0301,33.6,139.99999999999997,46.66666666666666
B0301,0.0,139.99999999999997,46.66666666666666
A0302,33.6,139.99999999999997,93.33333333333331
B0302,0.0,139.99999999999997,93.33333333333331
A0303,33.6,139.99999999999997,139.99999999999997
B0303,0.0,139.99999999999997,139.99999999999997
A0304,33.6,139.99999999999997,186.66666666666663
B0304,0.0,139.99999999999997,186.66666666666663
A0305,33.6,139.99999999999997,233.3333333333333
B0305,0.0,139.99999999999997,233.3333333333333
A0306,33.6,139.99999999999997,279.99999999999994
B0306,0.0,139.99999999999997,279.99999999999994
